"subjectid" "activity" "meanvalue"
1 "walking" -0.193204572492262
1 "walkingupstairs" -0.315336808393305
1 "walkingdownstairs" -0.149358035365099
1 "sitting" -0.725010256710861
1 "standing" -0.751886863913404
1 "laying" -0.681581978523055
2 "walking" -0.32544820638322
2 "walkingupstairs" -0.27094863788048
2 "walkingdownstairs" -0.106411521321941
2 "sitting" -0.737361985616243
2 "standing" -0.739970261016944
2 "laying" -0.743126753233842
3 "walking" -0.317947801074047
3 "walkingupstairs" -0.358357567758965
3 "walkingdownstairs" -0.232708366871836
3 "sitting" -0.707845449974583
3 "standing" -0.712068206745217
3 "laying" -0.734347688677236
4 "walking" -0.392128132692634
4 "walkingupstairs" -0.341355950186464
4 "walkingdownstairs" -0.281840698460603
4 "sitting" -0.717843420704141
4 "standing" -0.705320467661402
4 "laying" -0.728668034663377
5 "walking" -0.290846535887125
5 "walkingupstairs" -0.244346694233246
5 "walkingdownstairs" -0.149721994636294
5 "sitting" -0.71816250875378
5 "standing" -0.698248943096751
5 "laying" -0.739085358855865
6 "walking" -0.231135633132547
6 "walkingupstairs" -0.189984813956898
6 "walkingdownstairs" -0.000804104618582071
6 "sitting" -0.7166252231237
6 "standing" -0.723169679977658
6 "laying" -0.714481502407656
7 "walking" -0.184567020446338
7 "walkingupstairs" -0.362851021783283
7 "walkingdownstairs" -0.164658253921528
7 "sitting" -0.712354376735631
7 "standing" -0.725824852727622
7 "laying" -0.723857064735047
8 "walking" -0.16056841343373
8 "walkingupstairs" -0.146879782054871
8 "walkingdownstairs" -0.00103612319688198
8 "sitting" -0.72745694109493
8 "standing" -0.735324128855415
8 "laying" -0.722406520353446
9 "walking" -0.286806225658878
9 "walkingupstairs" -0.352322249173958
9 "walkingdownstairs" -0.162548480947928
9 "sitting" -0.704523755500333
9 "standing" -0.719415113824515
9 "laying" -0.726146510489097
10 "walking" -0.207316119201447
10 "walkingupstairs" -0.214657479004489
10 "walkingdownstairs" -0.108732322835411
10 "sitting" -0.73712845579557
10 "standing" -0.721542732014904
10 "laying" -0.751454042087244
